date,eur_usd_rate,previous_eur_pricing,percent_change_pricing,5_days_rolling_mean_pricing,10_days_rolling_mean_pricing,60_days_rolling_mean_pricing,120_days_rolling_mean_pricing,5_days_exp_rolling_mean_pricing,10_days_exp_rolling_mean_pricing,60_days_exp_rolling_mean_pricing,120_days_exp_rolling_mean_pricing
2000-09-27,0.8861,0.8757,1.1876213315062194,0.8683400000000006,0.8644599999999991,0.9049449999999998,0.9184416666666677,0.8716216852338043,0.8692894561065071,0.8972995699980886,0.9194780419712515
2000-09-28,0.8832,0.8861,-0.32727683105744426,0.8760400000000006,0.8665299999999994,0.9038183333333332,0.9178558333333343,0.8764477901558696,0.8723459186325966,0.8969323709817577,0.918926338798173
2000-09-29,0.8765,0.8832,-0.7586050724637726,0.8822000000000004,0.8679199999999995,0.9026349999999999,0.9172241666666676,0.8786985267705798,0.8743193879721244,0.8964821293102246,0.918335820801509
2000-10-02,0.8802,0.8765,0.42213348545351254,0.8797000000000004,0.8694199999999995,0.9014383333333331,0.9165333333333342,0.8779656845137198,0.8747158628862836,0.8958269775295614,0.9176443196312362
2000-10-03,0.8763,0.8802,-0.4430811179277454,0.8803400000000006,0.8721799999999995,0.9002366666666665,0.9158883333333343,0.8787104563424799,0.8757129787251411,0.8953146176105593,0.9170254052571661
2000-10-04,0.873,0.8763,-0.37658336186237246,0.8804600000000005,0.8743999999999994,0.8989633333333331,0.9152433333333343,0.8779069708949867,0.8758197098660245,0.8946911875249671,0.9163522580628328
2000-10-05,0.8786,0.873,0.6414662084765235,0.8778400000000005,0.8769399999999994,0.8976816666666665,0.9145683333333344,0.8762713139299911,0.8753070353449292,0.8939800010487386,0.9156356918138605
2000-10-06,0.8703,0.8786,-0.9446847256999868,0.8769200000000005,0.8795599999999995,0.8967433333333331,0.913912500000001,0.8770475426199942,0.8759057561913056,0.8934757387192718,0.9150235316185902
2000-10-09,0.8695,0.8703,-0.09192232563482844,0.8756800000000006,0.8776899999999996,0.8956749999999999,0.9132508333333343,0.8747983617466628,0.8748865277928863,0.892715878433394,0.9142842996910102
2000-10-10,0.8721,0.8695,0.29902242668199375,0.8735400000000005,0.8769399999999996,0.8945799999999998,0.912612500000001,0.873032241164442,0.8739071591032705,0.8919547020913154,0.9135440633324812
2000-10-11,0.872,0.8721,-0.011466574934065932,0.8727000000000006,0.8765799999999995,0.8935266666666666,0.9120666666666677,0.8727214941096281,0.8735785847208577,0.8913037282522559,0.9128590374922748
2000-10-12,0.8648,0.872,-0.8256880733944936,0.8725000000000005,0.8751699999999994,0.8926999999999999,0.9115816666666677,0.8724809960730854,0.8732915693170653,0.8906708191292311,0.912183681500667
